"id","label","code","userTypeId/id","chartTemplateId/id","tagIds/id","reconcile"
"currentAssets","Current Assets","1010","account.dataAccountTypeCurrentAssets","l10n_generic_coa.configurableChartTemplate","","false"
"stockValuation","Stock Valuation","1101","account.dataAccountTypeCurrentAssets","l10n_generic_coa.configurableChartTemplate","","false"
"stockIn","Stock Interim (Received)","1102","account.dataAccountTypeCurrentAssets","l10n_generic_coa.configurableChartTemplate","","true"
"stockOut","Stock Interim (Delivered)","1103","account.dataAccountTypeCurrentAssets","l10n_generic_coa.configurableChartTemplate","","true"
"receivable","Account Receivable","1210","account.dataAccountTypeReceivable","l10n_generic_coa.configurableChartTemplate","","true"
"toReceiveRec","Products to receive","1211","account.dataAccountTypeCurrentAssets","l10n_generic_coa.configurableChartTemplate","","true"
"taxPaid","Tax Paid","1310","account.dataAccountTypeCurrentAssets","l10n_generic_coa.configurableChartTemplate","","false"
"taxReceivable","Tax Receivable","1320","account.dataAccountTypeCurrentAssets","l10n_generic_coa.configurableChartTemplate","","false"
"prepayments","Prepayments","1410","account.dataAccountTypePrepayments","l10n_generic_coa.configurableChartTemplate","","false"
"fixedAssets","Fixed Asset","1510","account.dataAccountTypeFixedAssets","l10n_generic_coa.configurableChartTemplate","","false"
"nonCurrentAssets","Non-current assets","1910","account.dataAccountTypeNonCurrentAssets","l10n_generic_coa.configurableChartTemplate","","false"
"currentLiabilities","Current Liabilities","2010","account.dataAccountTypeCurrentLiabilities","l10n_generic_coa.configurableChartTemplate","","false"
"payable","Account Payable","2110","account.dataAccountTypePayable","l10n_generic_coa.configurableChartTemplate","","true"
"toReceivePay","Bills to receive","2111","account.dataAccountTypeCurrentLiabilities","l10n_generic_coa.configurableChartTemplate","","true"
"taxReceived","Tax Received","2510","account.dataAccountTypeCurrentLiabilities","l10n_generic_coa.configurableChartTemplate","","false"
"taxPayable","Tax Payable","2520","account.dataAccountTypeCurrentLiabilities","l10n_generic_coa.configurableChartTemplate","","false"
"nonCurrentLiabilities","Non-current Liabilities","2910","account.dataAccountTypeNonCurrentLiabilities","l10n_generic_coa.configurableChartTemplate","","false"
"capital","Capital","3010","account.dataAccountTypeEquity","l10n_generic_coa.configurableChartTemplate","","false"
"dividends","Dividends","3020","account.dataAccountTypeEquity","l10n_generic_coa.configurableChartTemplate","","false"
"income","Product Sales","4000","account.dataAccountTypeRevenue","l10n_generic_coa.configurableChartTemplate","account.accountTagOperating","false"
"incomeCurrencyExchange","Foreign Exchange Gain","4410","account.dataAccountTypeRevenue","l10n_generic_coa.configurableChartTemplate","account.accountTagFinancing","false"
"cashDiffIncome","Cash Difference Gain","4420","account.dataAccountTypeRevenue","l10n_generic_coa.configurableChartTemplate","account.accountTagInvesting","false"
"otherIncome","Other Income","4500","account.dataAccountTypeOtherIncome","l10n_generic_coa.configurableChartTemplate","","false"
"costOfGoodsSold","Cost of Goods Sold","5000","account.dataAccountTypeDirectCosts","l10n_generic_coa.configurableChartTemplate","account.accountTagOperating","false"
"expense","Expenses","6000","account.dataAccountTypeExpenses","l10n_generic_coa.configurableChartTemplate","account.accountTagOperating","false"
"expenseInvest","Purchase of Equipments","6110","account.dataAccountTypeExpenses","l10n_generic_coa.configurableChartTemplate","account.accountTagInvesting","false"
"expenseRent","Rent","6120","account.dataAccountTypeExpenses","l10n_generic_coa.configurableChartTemplate","account.accountTagInvesting","false"
"expenseFinance","Bank Fees","6200","account.dataAccountTypeExpenses","l10n_generic_coa.configurableChartTemplate","account.accountTagFinancing","false"
"expenseSalary","Salary Expenses","6300","account.dataAccountTypeExpenses","l10n_generic_coa.configurableChartTemplate","account.accountTagOperating","false"
"expenseCurrencyExchange","Foreign Exchange Loss","6410","account.dataAccountTypeExpenses","l10n_generic_coa.configurableChartTemplate","account.accountTagFinancing","false"
"cashDiffExpense","Cash Difference Loss","6420","account.dataAccountTypeExpenses","l10n_generic_coa.configurableChartTemplate","account.accountTagInvesting","false"
"expenseRd","RD Expenses","9610","account.dataAccountTypeExpenses","l10n_generic_coa.configurableChartTemplate","account.accountTagInvesting","false"
"expenseSales","Sales Expenses","9620","account.dataAccountTypeExpenses","l10n_generic_coa.configurableChartTemplate","account.accountTagInvesting","false"
"posReceivable","Account Receivable (PoS)","1013","account.dataAccountTypeReceivable","l10n_generic_coa.configurableChartTemplate","","true"